term,coef,pos_count,neg_count,pos_ratio,importance
increase,-1.3996074427648166,1026347.0,983262.0,0.5107197469756555,20.313134363613248
2009,-1.4355406361527459,279620.0,284965.0,0.4952664346378313,19.012081980414884
warranty,-1.4705356248310293,72465.0,73469.0,0.49656008880726904,17.486016466426683
2020,-1.2445807269743605,208489.0,194772.0,0.517007595577058,16.06422878320014
destroyed,-1.9648340329492677,1695.0,1702.0,0.49896967912864293,15.975952155372065
businesses,-1.2303280275731452,150014.0,150405.0,0.4993492422250257,15.518049623739406
noncontrolling,-1.3705577792124835,38180.0,41790.0,0.4774290358884582,15.472801510106994
dividends,-1.1025095970519654,297140.0,271373.0,0.5226617509186245,14.60911346136784
earnings,-1.0657405240632203,443844.0,443505.0,0.5001910184155276,14.596376645838665
2015,-1.0477585790818411,317297.0,349345.0,0.4759631106350935,14.050452969874353
plan,-0.9683828965853807,856021.0,786908.0,0.5210334713186023,13.859488066591865
applications,-1.0941754389551779,154587.0,130615.0,0.5420263532513797,13.743890077204743
contracts,-1.0007136480262422,406053.0,389582.0,0.5103508518353265,13.596593336086512
health,-0.9964965076766568,283586.0,259616.0,0.5220636153769684,13.158973926753683
client,-1.0952589523309981,58447.0,60569.0,0.4910852322376823,12.800315054332263
study,-1.0341564281845255,83774.0,67678.0,0.5531389483136572,12.335449546194871
repurchase,-0.9559987966636398,176909.0,187134.0,0.48595632933472144,12.241593288865134
1997,-0.9713654185666606,76272.0,67290.0,0.5312826513980022,11.534507067659868
acxiom,-1.3805829442895374,746.0,3254.0,0.1865,11.45096857481568
dsw,-1.3330292866249263,445.0,3009.0,0.1288361320208454,10.860959737410177
mutual,-0.9570878766392746,40061.0,40727.0,0.49587810070802596,10.814706435002767
rogers,-1.274199834270678,1885.0,2876.0,0.3959252257929006,10.790463217597036
david,-0.9755574530209528,27553.0,23373.0,0.5410399403055414,10.573236559551564
nil,-1.220571752364992,3457.0,2168.0,0.6145777777777778,10.539825036356069
pool,-0.951171029453886,29295.0,29924.0,0.49468920447829245,10.452432331340525
john,-0.9168691261331107,37951.0,35730.0,0.5150717281252969,10.275823397655426
fcc,-0.9350457658480734,26205.0,25769.0,0.5041944048947551,10.15321138468926
empire,-1.1777600194384334,2351.0,3176.0,0.42536638320969783,10.149442796481736
engine,-0.9440991822511393,21912.0,21681.0,0.5026495079485238,10.085504547833272
korea,-1.0632785629229646,6339.0,6066.0,0.5110036275695284,10.022395158527743
td,-1.2003001170728878,1314.0,2482.0,0.34615384615384615,9.892833427157058
costco,-1.2455386312334553,706.0,2107.0,0.2509776039815144,9.892518990273174
paa,-1.1417538544587011,867.0,4448.0,0.16312323612417687,9.79450851772756
merck,-0.983433546305801,9184.0,11025.0,0.45445098718392796,9.749694101566813
harbin,-1.2144530664964361,1167.0,1427.0,0.4498843484965305,9.547230650443007
guyana,-1.181854491965937,780.0,2318.0,0.25177533892834086,9.500732968663357
cohen,-1.0383135920630004,3243.0,4204.0,0.4354773734389687,9.257293343090177
meridian,-1.0758088049456984,2064.0,2899.0,0.4158774934515414,9.155097585814513
hospitality,-0.9257015180767817,8878.0,8579.0,0.5085638998682477,9.041838894836696
atlas,-1.0079554074864847,3308.0,4496.0,0.4238851870835469,9.033820330326346
lennar,-1.0227462820034359,1369.0,4121.0,0.24936247723132968,8.806730846040502
tci,-0.9868042015882037,2607.0,4901.0,0.34722962173681404,8.806100154417306
duke,-1.0112972358643721,3072.0,2827.0,0.5207662315646719,8.780798225930104
rv,-0.9853181827745833,2827.0,4507.0,0.38546495773111533,8.76973845822325
spl,-1.0570355454165976,807.0,2861.0,0.22001090512540894,8.675803611750245
spirit,-0.9487549423746783,3048.0,5168.0,0.37098344693281404,8.552039534832133
village,-0.9496195656121519,3979.0,3755.0,0.5144815102146366,8.502429001470592
essex,-1.0001787852263282,1708.0,2972.0,0.36495726495726494,8.45277800299081
stryker,-1.0367405372401481,1224.0,2048.0,0.3740831295843521,8.390820426599225
ampyra,-1.0540763245766982,682.0,2169.0,0.23921431076815153,8.385994894955864
salons,-1.007379756895361,1347.0,2593.0,0.34187817258883246,8.340288185041262
us12of,-1.0199433840441234,559.0,2898.0,0.1617008967312699,8.310953247527797
asp,-1.0164430344667799,1551.0,1902.0,0.44917463075586445,8.281254400355328
recreation,-0.9725871038175415,2157.0,2622.0,0.45134965473948524,8.239948400884009
rocky,-0.9248814948380041,3535.0,3849.0,0.47873781148429034,8.238110180430004
liveperson,-1.088731304474184,494.0,1275.0,0.2792538157150933,8.142332722457022
templeton,-1.0129114558701544,1123.0,1959.0,0.36437378325762493,8.137384654153697
daniels,-1.0615499256989096,829.0,1120.0,0.42534633145202666,8.041861323986975
ciner,-0.967436976514212,912.0,3157.0,0.2241336937822561,8.040754021096172
tree,-0.928673337735925,2404.0,3012.0,0.44387001477104876,7.984080905080929
flags,-1.0166342536974726,654.0,1787.0,0.26792298238426876,7.930329359194009
lime,-0.9130783993847419,1957.0,3469.0,0.3606708440840398,7.851690607144284
ghana,-0.9736250352941168,1299.0,1410.0,0.4795127353266888,7.69621762713487
nathan,-1.039612545409419,675.0,735.0,0.4787234042553192,7.5393262683321405
