split,n_docs,n_positive,n_negative,pos_ratio,avg_sentences,avg_sections
train,52411,28279,24132,0.5395623056228654,1284.3911965045506,18.475835225429776
validation,866,498,368,0.5750577367205543,1830.9018475750577,19.73094688221709
test,1819,1035,784,0.5689939527212754,1630.1121495327102,19.574491478834524
