term,coef,pos_count,neg_count,pos_ratio,importance
2019,1.3815435572376682,340915.0,224881.0,0.602540491625957,18.299913021855563
exploration,1.4485559400602825,86459.0,54098.0,0.6151169987976408,17.1702774815417
management,1.1577408347184306,1125054.0,1000484.0,0.5293031693622979,16.867746741430512
additional,1.1362345313523896,1065667.0,921363.0,0.5363114799474593,16.47784602087505
fas,1.4404908365892763,27950.0,19326.0,0.5912090701412979,15.505125302207272
lease,1.1140339806879,527496.0,455323.0,0.536717340629353,15.371642805850197
federal,1.093691897040836,622025.0,559069.0,0.5266515620263925,15.291948189330524
oak,1.6230241584409097,7740.0,3902.0,0.6648342209242398,15.195499444166904
asu,1.128228775594786,206966.0,180421.0,0.5342616040290459,14.517125053845833
park,1.3226962504754158,26286.0,17794.0,0.5963248638838475,14.144628171608655
home,1.093440491578968,122940.0,119152.0,0.5078234720684698,13.55546621924098
alliance,1.2782916656525054,22724.0,15027.0,0.6019443193557786,13.471652195444026
apple,1.4234926390700349,7161.0,4437.0,0.6174340403517848,13.322003787441844
plans,0.9843940503942945,345770.0,323820.0,0.5163906271001658,13.205077557910638
demand,1.0049676060829917,262180.0,242512.0,0.5194851513398271,13.196938743238215
gps,1.4154851762562617,5072.0,2873.0,0.6383889238514789,12.711656958435073
joway,1.5340424112980915,3733.0,0.0,1.0,12.617859830079162
channel,1.1227725639459072,36117.0,28523.0,0.5587407178217821,12.436507256323475
iii,1.0198354735658903,74543.0,63195.0,0.5411941512146249,12.067831326039165
novartis,1.1780626005002666,8572.0,5921.0,0.5914579452149313,11.287595084580758
pfizer,1.141447779153171,10439.0,6634.0,0.6114332571897148,11.12376487375505
assays,1.2234008921392043,5911.0,2575.0,0.6965590384162149,11.067240308637633
gaap,0.9288183629631441,60809.0,57487.0,0.5140410495705687,10.849484284555222
cooperative,1.0578694758074498,11212.0,8306.0,0.5744441028793934,10.450844492391834
sars,1.0561284781590576,9548.0,8677.0,0.5238957475994513,10.361258721254986
princeton,1.219447730939847,3583.0,1250.0,0.7413614732050486,10.345098929070708
cargo,1.0538495946709585,9869.0,8301.0,0.5431480462300495,10.335716521586868
adams,1.1473430523483192,4581.0,3171.0,0.5909442724458205,10.275415230696531
gse,1.182972541966688,3535.0,2189.0,0.6175751222921034,10.23578564770434
towers,1.0723844380110805,8287.0,5446.0,0.6034369766256462,10.21728191704809
pa,1.101921034623658,6034.0,4051.0,0.5983143282102132,10.15850379591317
sensors,1.074910249470252,7601.0,4869.0,0.6095429029671211,10.137651868298459
minority,0.9233350840773318,31488.0,25609.0,0.5514825647582184,10.11285000888893
eca,1.242955697175144,2997.0,303.0,0.9081818181818182,10.07040310906017
trailer,1.0746766041523548,5381.0,3173.0,0.6290624269347673,9.730413411595654
