docID,cik,filingDate,name,tickers,exchanges,entityType,sic,stateOfIncorporation,acceptanceDateTime,form,reportDate,label_5d,n_sentences,n_sections,snippet
0000001750_10-K_1994,0000001750,1994-08-24,AAR CORP,['AIR'],['NYSE'],operating,3720,DE,1994-08-24T00:00:00.000Z,10-K,1994-05-31,1,494,14,"ITEM 1. BUSINESS AAR CORP. and its subsidiaries are referred to herein collectively as the ""Company,"" unless the context indicates otherwise. The Company was organized in 1955 as the successor to a business founded in 1951 and was reincorporated in Delaware in 1966."
0000001750_10-K_1995,0000001750,1995-08-11,AAR CORP,['AIR'],['NYSE'],operating,3720,DE,1995-08-11T00:00:00.000Z,10-K,1995-05-31,0,491,14,"ITEM 1. BUSINESS AAR CORP. and its subsidiaries are referred to herein collectively as the ""Company,"" unless the context indicates otherwise. The Company was organized in 1955 as the successor to a business founded in 1951 and was reincorporated in Delaware in 1966."
